"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","虚拟机快照","虚拟机快照","0","0","2","0","0"
"","网络","网络","0","0","2","0","0"
"","创建卷快照","卷快照","1","0","1","0","0"
"","删除卷快照","删除卷快照","0","0","0","3","0"
"","删除子网","子网","0","0","2","0","0"
"","创建虚拟机","创建和查询虚拟机","0","0","2","0","0"
"","项目","创建项目","0","0","1","0","0"
"","创建子网","子网","0","0","2","0","0"
"","网络","网络创建和查询","0","0","2","0","0"
"","删除卷","卷","1","0","0","1","0"
"","删除虚拟机","虚拟机","0","0","2","0","0"
"","虚拟机快照","查看虚拟机快照","0","0","1","0","0"
"","创建云主机快照","虚拟机快照","0","0","1","0","0"
"","项目","删除项目","0","0","2","0","0"
"","云主机与磁盘挂载","虚拟机挂载和卸载","0","0","3","0","0"
"","创建卷","卷","0","0","2","0","0"
