"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Nov 03 22:11:42 CST 2019","Sun Nov 03 22:12:03 CST 2019","20769","testcase","test_06_os_volume_attachments","Test_Os_Volume_Attachments","","","test_os_volume_attachments[case_data0]",""
"passed","Sun Nov 03 22:09:14 CST 2019","Sun Nov 03 22:09:14 CST 2019","84","testcase","test_01_project","TestAddProject","","","test_project_crate[case_data0]",""
"passed","Sun Nov 03 22:09:17 CST 2019","Sun Nov 03 22:09:19 CST 2019","1879","testcase","test_04_server","Test_Server","","","test_server[case_data0]",""
"passed","Sun Nov 03 22:12:05 CST 2019","Sun Nov 03 22:12:05 CST 2019","195","testcase","test_09_get_server_snap","Test_Get_Server_Snap","","","test_get_server_snap[case_data0]",""
"failed","Sun Nov 03 22:13:28 CST 2019","Sun Nov 03 22:13:28 CST 2019","218","testcase","test_15_delete_volume","Test_Delete_volume","","","test_delete_volume[case_data0]",""
"passed","Sun Nov 03 22:11:21 CST 2019","Sun Nov 03 22:11:42 CST 2019","20321","testcase","test_05_volume","Test_Volume","","","test_volume[case_data1]","查询卷"
"passed","Sun Nov 03 22:13:08 CST 2019","Sun Nov 03 22:13:10 CST 2019","1393","testcase","test_12_delete_server","Test_Server","","","test_server[case_data0]",""
"passed","Sun Nov 03 22:09:17 CST 2019","Sun Nov 03 22:09:17 CST 2019","287","testcase","test_03_subnet","Test_Subnet","","","test_subnet[case_data0]",""
"passed","Sun Nov 03 22:13:29 CST 2019","Sun Nov 03 22:13:30 CST 2019","729","testcase","test_16_delete_project","Test_Delete_project","","","test_delete_project[case_data0]",""
"passed","Sun Nov 03 22:13:30 CST 2019","Sun Nov 03 22:13:30 CST 2019","37","testcase","test_16_delete_project","Test_Delete_project","","","test_delete_project[case_data1]","删除项目后查看"
"passed","Sun Nov 03 22:13:21 CST 2019","Sun Nov 03 22:13:23 CST 2019","2137","testcase","test_13_delete_subnet","Test_Delete_Subnet","","","test_delete_subnet[case_data1]","删除子网后查询子网"
"passed","Sun Nov 03 22:13:20 CST 2019","Sun Nov 03 22:13:21 CST 2019","1126","testcase","test_13_delete_subnet","Test_Delete_Subnet","","","test_delete_subnet[case_data0]",""
"passed","Sun Nov 03 22:13:10 CST 2019","Sun Nov 03 22:13:20 CST 2019","10121","testcase","test_12_delete_server","Test_Server","","","test_server[case_data1]","删除后查看查询虚拟机"
"passed","Sun Nov 03 22:09:14 CST 2019","Sun Nov 03 22:09:16 CST 2019","2321","testcase","test_02_network","Test_Network","","","test_network[case_data0]",""
"passed","Sun Nov 03 22:11:21 CST 2019","Sun Nov 03 22:11:21 CST 2019","384","testcase","test_05_volume","Test_Volume","","","test_volume[case_data0]",""
"passed","Sun Nov 03 22:12:03 CST 2019","Sun Nov 03 22:12:04 CST 2019","262","testcase","test_07_volume_snap","Test_Volume_Snap","","","test_volume_snap[case_data0]",""
"passed","Sun Nov 03 22:12:04 CST 2019","Sun Nov 03 22:12:04 CST 2019","255","testcase","test_07_volume_snap","Test_Volume_Snap","","","test_volume_snap[case_data1]","创建卷快照"
"passed","Sun Nov 03 22:10:40 CST 2019","Sun Nov 03 22:11:21 CST 2019","40309","testcase","test_04_server","Test_Server","","","test_server[case_data1]","查询虚拟机"
"failed","Sun Nov 03 22:12:37 CST 2019","Sun Nov 03 22:12:47 CST 2019","10072","testcase","test_10_delete_volume_snap","Test_Volume_Snap_Delete","","","test_volume_snap_delete[case_data1]","删除卷快照后查看询"
"skipped","Sun Nov 03 22:13:28 CST 2019","Sun Nov 03 22:13:28 CST 2019","0","testcase","test_15_delete_volume","Test_Delete_volume","","","test_delete_volume[case_data1]","删除卷后查看询"
"passed","Sun Nov 03 22:12:06 CST 2019","Sun Nov 03 22:12:06 CST 2019","256","testcase","test_10_delete_volume_snap","Test_Volume_Snap_Delete","","","test_volume_snap_delete[case_data0]",""
"passed","Sun Nov 03 22:13:26 CST 2019","Sun Nov 03 22:13:28 CST 2019","2061","testcase","test_14_delete_network","Test_Delete_network","","","test_delete_network[case_data1]","删除网络后查询网络"
"passed","Sun Nov 03 22:09:17 CST 2019","Sun Nov 03 22:09:17 CST 2019","71","testcase","test_03_subnet","Test_Subnet","","","test_subnet[case_data1]","查询子网"
"passed","Sun Nov 03 22:12:48 CST 2019","Sun Nov 03 22:13:08 CST 2019","20046","testcase","test_11_delete_server_snap","Test_Server_Snap","","","test_server_snap[case_data1]","删除虚拟机快照后查看询"
"passed","Sun Nov 03 22:12:04 CST 2019","Sun Nov 03 22:12:05 CST 2019","771","testcase","test_08_server_snap","Test_Server_Snap","","","test_server_snap[case_data0]",""
"passed","Sun Nov 03 22:09:16 CST 2019","Sun Nov 03 22:09:16 CST 2019","73","testcase","test_02_network","Test_Network","","","test_network[case_data1]","查询网络"
"passed","Sun Nov 03 22:12:03 CST 2019","Sun Nov 03 22:12:03 CST 2019","732","testcase","test_06_os_volume_attachments","Test_Os_Volume_Attachments","","","test_os_volume_attachments[case_data1]","云主机与磁盘卸载"
"passed","Sun Nov 03 22:13:24 CST 2019","Sun Nov 03 22:13:26 CST 2019","2285","testcase","test_14_delete_network","Test_Delete_network","","","test_delete_network[case_data0]",""
"failed","Sun Nov 03 22:12:48 CST 2019","Sun Nov 03 22:12:48 CST 2019","57","testcase","test_11_delete_server_snap","Test_Server_Snap","","","test_server_snap[case_data0]","删除虚拟机快照后查看询"
